24;5;120
w;1;405
d;1;115
d;2;75
d;3;80
d;4;77
d;5;58
w;2;369
d;6;109
d;7;88
d;8;73
d;9;63
d;10;36
w;3;385
d;11;124
d;12;85
d;13;71
d;14;66
d;15;39
w;4;373
d;16;113
d;17;83
d;18;72
d;19;65
d;20;40
w;5;404
d;21;130
d;22;93
d;23;71
d;24;65
d;25;45
w;6;134
d;26;30
d;27;21
d;28;23
d;29;23
d;30;37
w;7;50
d;31;7
d;32;10
d;33;12
d;34;9
d;35;12
w;8;47
d;36;9
d;37;10
d;38;11
d;39;8
d;40;9
w;9;56
d;41;11
d;42;12
d;43;13
d;44;11
d;45;9
w;10;55
d;46;11
d;47;12
d;48;13
d;49;10
d;50;9
w;11;52
d;51;10
d;52;11
d;53;13
d;54;10
d;55;8
w;12;43
d;56;7
d;57;10
d;58;10
d;59;9
d;60;7
w;13;14
d;61;3
d;62;3
d;63;3
d;64;2
d;65;3
w;14;13
d;66;3
d;67;3
d;68;2
d;69;3
d;70;2
w;15;1
d;71;0
d;72;0
d;73;0
d;74;0
d;75;1
w;16;1
d;76;0
d;77;0
d;78;0
d;79;0
d;80;1
w;17;1
d;81;0
d;82;0
d;83;0
d;84;0
d;85;1
w;18;11
d;86;3
d;87;3
d;88;3
d;89;1
d;90;1
w;19;19
d;91;5
d;92;4
d;93;4
d;94;3
d;95;3
w;20;13
d;96;5
d;97;4
d;98;3
d;99;0
d;100;1
w;21;11
d;101;4
d;102;3
d;103;3
d;104;0
d;105;1
w;22;7
d;106;4
d;107;2
d;108;1
d;109;0
d;110;0
w;23;6
d;111;3
d;112;2
d;113;1
d;114;0
d;115;0
w;24;3
d;116;2
d;117;0
d;118;0
d;119;0
d;120;1
