vide;595h10;35710
Amphi-A;4h0;240
Amphi-B;0h0;0
Amphi-D;0h0;0
Amphi-E;0h0;0
Amphi-L001;0h0;0
Amphi-L002;0h0;0
Amphi-L003;0h0;0
Amphi-L004;0h0;0
Amphi-L005;0h0;0
Amphi-L006;0h0;0
A018;0h0;0
A020;0h0;0
A115;0h0;0
A116;109h20;6560
A117;93h20;5600
A118;33h20;2000
A119;65h20;3920
A120;58h40;3520
B002;0h0;0
B003;0h0;0
B005;0h0;0
B006;0h0;0
B'107;0h0;0
B'108;0h0;0
C002;0h0;0
C004;106h40;6400
D003;0h0;0
D005;0h0;0
Da001;0h0;0
Da003;0h0;0
Da004;0h0;0
Da005;0h0;0
Da101;0h0;0
Da102;0h0;0
Da107;0h0;0
Da106;0h0;0
Da201;0h0;0
Da207;0h0;0
E001;0h0;0
E002;0h0;0
F001;0h0;0
F002;0h0;0
F003;0h0;0
F004;0h0;0
F101;0h0;0
F102;0h0;0
G001;0h0;0
G002;0h0;0
G003;0h0;0
G101;47h0;2820
G102;59h0;3540
G103;59h0;3540
G104;55h0;3300
G105;41h30;2490
G204;0h0;0
G205;0h0;0
H001;148h0;8880
H002;145h40;8740
H003;121h30;7290
H004;0h0;0
H005;159h0;9540
H006;341h30;20490
H007-H008;359h20;21560
H113;32h0;1920
H217;32h0;1920
I001;40h0;2400
I002;40h0;2400
I003;40h0;2400
I004;40h0;2400
I005;40h0;2400
I006;40h0;2400
I008;40h0;2400
I109;0h0;0
J004;0h0;0
J005;0h0;0
J104;0h0;0
J105;21h20;1280
LS01;24h45;1485
L101;65h20;3920
L102;65h20;3920
L103;80h0;4800
L104;72h0;4320
L105;78h40;4720
L106;78h40;4720
L107;65h20;3920
L108;0h0;0
L201;93h20;5600
L202;86h40;5200
L203;65h20;3920
L204;52h0;3120
L205;52h0;3120
L206;74h40;4480
L207;41h20;2480
L208;41h20;2480
L209;41h20;2480
L210;48h0;2880
L211;0h0;0
L212;0h0;0
L218;0h0;0
L219;0h0;0
L220;0h0;0
L221;0h0;0
L222;0h0;0
L229;48h0;2880
L230;40h0;2400
L231;40h0;2400
L232;13h20;800
AMPHI-A;36h40;2200
AMPHI-B;34h40;2080
Amphi-A-EVAL;4h30;270
Amphi-B-EVAL;6h0;360
Amphi-D-EVAL;0h0;0
Amphi-E-EVAL;0h0;0
Amphi-L001-EVAL;0h0;0
Amphi-L002-EVAL;0h0;0
Amphi-L003-EVAL;1h30;90
Amphi-L004-EVAL;0h0;0
Amphi-L005-EVAL;0h0;0
Amphi-L006-EVAL;0h0;0
Virtual-Anglais1-1;0h0;0
Virtual-Anglais1-2;0h0;0
Virtual-Anglais1-3;0h0;0
Virtual-Anglais1-4;0h0;0
Virtual-Anglais1-5;0h0;0
Virtual-Anglais1-6;0h0;0
Virtual-Anglais1-7;0h0;0
Virtual-Anglais1-8;0h0;0
Virtual-Anglais1-9;0h0;0
Virtual-Anglais1-10;0h0;0
Virtual-Anglais2-1;0h0;0
Virtual-Anglais2-2;0h0;0
Virtual-Anglais2-3;0h0;0
Virtual-Anglais2-4;0h0;0
Virtual-Anglais2-5;0h0;0
Virtual-Anglais2-6;0h0;0
Virtual-Anglais2-7;0h0;0
Virtual-Anglais2-8;0h0;0
Virtual-Anglais2-9;0h0;0
Virtual-Anglais2-10;0h0;0
